,movie_ids
0,0457275
1,0387892
2,0036027
3,0050832
4,0284262
5,2036416
6,0084422
7,0115760
8,0100740
9,0046911
10,0118849
11,6263642
12,0037800
13,3028018
14,0093820
15,0404032
16,0095327
17,0108170
18,0109382
19,0047849
20,0245674
21,0829482
22,0162222
23,0117924
24,0075824
25,0117364
26,1069238
27,0106475
28,0045464
29,0172156
30,0059712
31,0443559
32,0084827
33,0203755
34,0173840
35,0095497
36,0116126
37,3210686
38,0126810
39,0225481
40,0017739
41,0120554
42,0379593
43,0413099
44,0079043
45,0119822
46,0110186
47,0096101
48,1411697
49,0049730
50,0035899
51,0239234
52,0115798
53,0049513
54,2140577
55,0371724
56,0141974
57,0762073
58,0106308
59,1878870
60,1802810
61,0082677
62,0093748
63,0299930
64,1655460
65,0039420
66,0111190
67,0068273
68,0014341
69,0472181
70,0052969
71,0310910
72,0345032
73,0033149
74,1179904
75,0081353
76,0166276
77,1745862
78,0099317
79,1985949
80,0029546
81,0419843
82,0964539
83,2379386
84,0266465
85,1277953
86,0325537
87,1901040
88,0082263
89,0273435
90,0032339
91,0087538
92,1596365
93,0058953
94,0086148
95,0200720
96,0102849
97,0212604
98,2191701
99,1596363
100,0450340
101,3890160
102,0131704
103,0077533
104,0080684
105,0408790
106,0067866
107,1386588
108,0119567
109,0045081
110,0004972
111,0160429
112,0053804
113,0056869
114,0183649
115,0117357
116,0210616
117,0775489
118,0119987
119,0104802
120,5726616
121,0436689
122,0087289
123,0912593
124,0105107
125,0808510
126,0478087
127,0452598
128,0067309
129,0182000
130,0310149
131,0098502
132,0036515
133,0048394
134,1142977
135,0112857
136,0371246
137,0373024
138,1535438
139,0052561
140,2357129
141,0134119
142,1084950
143,3605418
144,0198021
145,0095186
146,0090103
147,1520494
148,0091396
149,0988083
150,0092605
151,0132245
152,1582507
153,0362225
154,0071615
155,0328832
156,0066808
157,0291350
158,0038776
159,0453453
160,0093565
161,0124595
162,0055233
163,3835080
164,0113376
165,1899353
166,0050307
167,0094318
168,0050798
169,2920540
170,0110157
171,0374536
172,0071315
173,0123324
174,0052151
175,0102303
176,0030604
177,2103281
178,0354899
179,2582782
180,0090248
181,0119517
182,0097202
183,0117631
184,0048545
185,1857842
186,0168172
187,0326905
188,0095583
189,0103924
190,0072272
191,0116587
192,1422032
193,0090887
194,0051383
195,1104733
196,0109219
197,0481141
198,0026942
199,0210945
200,2245084
201,1061123
202,6254796
203,0134630
204,0988595
205,0424136
206,3316948
207,0106557
208,0113264
209,0391304
210,0088933
211,3504048
212,0059049
213,0117060
214,2014338
215,1860357
216,2870648
217,0252299
218,2226417
219,0327036
220,0111712
221,0099615
222,0293508
223,0475298
224,0384642
225,2193265
226,0156639
227,3718778
228,3569230
229,0097100
230,0110217
231,0092641
232,0185014
233,1107860
234,1020530
235,0074739
236,0071464
237,0105159
238,0089606
239,3099498
240,0118147
241,0091251
242,0455565
243,0105128
244,0097216
245,2040560
246,1253863
247,0058092
248,0295297
249,0153464
250,1029120
251,0089622
252,3654796
253,0116756
254,0387877
255,0059798
256,1578275
257,0028944
258,0046187
259,1243957
260,2132405
261,0086955
262,0393597
263,2205697
264,1840417
265,2788732
266,0022718
267,0242998
268,0396752
269,0375920
270,0119225
271,1587310
272,0120768
273,0383060
274,1571249
275,2450186
276,0120769
277,0091455
278,0045251
279,0045810
280,0096283
281,0144814
282,0101492
283,0146970
284,0124179
285,0342735
286,1853643
287,0115940
288,0114788
289,3600760
290,0275067
291,1164999
292,0096895
293,0094138
